Error, Time
-20,6720
-20,6730
-23,6743
-25,6755
-27,6766
-30,6778
-31,6790
-31,6800
-33,6813
-35,6825
-36,6837
-37,6849
-38,6861
-38,6871
-39,6883
-40,6896
-40,6908
-40,6920
-40,6931
-40,6942
-40,6954
-40,6965
-39,6977
-38,6989
-38,7000
-38,7010
-37,7021
-36,7033
-35,7045
-34,7057
-34,7067
-32,7079
-32,7089
-31,7101
-30,7113
-29,7128
-27,7141
-25,7153
-24,7164
-21,7176
-15,7188
-15,7198
-15,7210
-20,7222
-20,7233
-24,7245
-27,7256
-30,7268
-35,7280
-38,7292
-42,7304
-46,7316
-49,7328
-49,7338
-52,7350
-56,7362
-56,7373
-58,7385
-61,7398
-63,7410
-65,7421
-66,7433
-68,7445
-68,7456
-69,7467
-69,7479
-69,7491
-68,7503
-68,7513
-68,7526
-67,7537
-67,7549
-65,7561
-63,7572
-63,7583
-61,7594
-59,7606
-57,7618
-54,7630
-51,7641
-51,7652
-48,7664
-45,7675
-42,7687
-39,7699
-39,7710
-36,7721
-32,7733
-29,7745
-25,7757
-25,7768
-22,7779
-18,7791
-18,7802
-15,7814
-12,7826
-8,7838
-1,7850
4,7862
3,7874
3,7884
2,7898
0,7909
-2,7921
-5,7932
-5,7943
-7,7956
-10,7967
-13,7979
-15,7991
-18,8002
-18,8012
-21,8024
-24,8036
-27,8048
-30,8060
-33,8072
-33,8082
-37,8094
-39,8106
-42,8117
-45,8129
-45,8139
-48,8151
-50,8163
-52,8175
-54,8187
-57,8198
-57,8209
-58,8220
-58,8231
-59,8243
-61,8255
-62,8266
-62,8278
-62,8290
-63,8301
-63,8312
-62,8324
-62,8336
-61,8347
-60,8359
-60,8369
-59,8383
-58,8394
-59,8406
-59,8418
-57,8429
-57,8440
-56,8452
-58,8463
-60,8475
-62,8487
-63,8499
-63,8509
-64,8521
-64,8533
-65,8544
-65,8556
-65,8566
-65,8578
-64,8590
-62,8602
-61,8613
-59,8630
-57,8641
-57,8652
-55,8664
-52,8676
-50,8687
-47,8699
-44,8711
-44,8722
-41,8734
-38,8745
-35,8757
-32,8769
-32,8779
-28,8791
-28,8801
-25,8813
-21,8825
-18,8837
-15,8849
-12,8860
-8,8872
-5,8884
-5,8895
-2,8907
0,8919
2,8930
2,8941
5,8954
7,8966
10,8978
12,8990
14,9001
14,9011
16,9024
17,9036
19,9048
19,9060
20,9071
20,9082
20,9094
20,9106
20,9117
21,9129
22,9141
22,9151
23,9163
24,9175
24,9187
25,9198
25,9209
25,9221
25,9233
24,9244
24,9256
23,9268
23,9278
22,9290
21,9301
20,9313
19,9325
19,9335
18,9347
17,9359
17,9369
15,9382
18,9394
10,9406
7,9418
4,9430
4,9441
0,9453
-3,9466
-7,9478
-11,9490
-14,9501
-14,9512
-18,9525
-21,9537
-25,9549
-29,9560
-32,9573
-32,9583
-36,9596
-38,9608
-41,9619
-44,9631
-48,9643
-48,9654
-51,9667
-54,9678
