Error, Time
32,7628
33,7639
34,7651
34,7661
34,7673
35,7685
36,7697
36,7709
37,7721
37,7733
37,7744
38,7756
38,7767
38,7778
38,7790
38,7800
38,7813
39,7825
39,7837
39,7849
39,7860
39,7871
39,7883
38,7894
38,7906
38,7918
37,7929
37,7940
37,7951
36,7963
36,7975
35,7987
35,7999
35,8008
34,8020
34,8032
33,8043
33,8054
33,8065
32,8077
32,8087
31,8099
31,8112
30,8124
30,8135
30,8147
30,8159
29,8171
29,8182
29,8193
29,8205
29,8216
29,8227
29,8240
28,8253
28,8265
28,8277
27,8288
27,8299
27,8311
26,8322
26,8334
25,8345
25,8357
25,8368
24,8379
23,8391
23,8403
23,8415
22,8427
22,8437
21,8449
22,8460
22,8472
22,8483
22,8494
21,8506
21,8517
22,8529
23,8541
23,8551
23,8563
23,8575
23,8586
24,8598
28,8610
29,8621
30,8633
32,8645
32,8655
33,8668
34,8679
34,8691
35,8703
36,8714
36,8725
37,8737
37,8748
38,8760
38,8772
38,8783
38,8794
39,8805
39,8817
39,8828
39,8840
39,8853
39,8864
38,8876
38,8888
38,8899
38,8910
38,8921
38,8933
38,8945
38,8957
38,8969
38,8979
38,8991
38,9002
38,9012
38,9025
37,9038
37,9050
37,9062
36,9073
36,9084
36,9096
35,9109
35,9120
34,9132
33,9144
33,9155
33,9167
32,9179
31,9191
31,9202
30,9214
30,9224
29,9241
29,9253
28,9265
28,9277
28,9289
27,9301
27,9313
27,9323
27,9335
27,9347
27,9358
27,9369
27,9382
28,9393
28,9405
28,9417
28,9429
28,9439
28,9451
28,9463
28,9475
28,9486
28,9498
28,9508
28,9520
28,9531
28,9543
28,9555
28,9565
27,9577
27,9589
27,9601
26,9613
26,9623
26,9635
26,9646
26,9658
26,9669
26,9680
26,9691
26,9703
25,9715
25,9725
25,9738
25,9749
25,9761
25,9773
25,9784
25,9795
25,9806
25,9818
24,9830
24,9842
24,9852
24,9864
24,9875
24,9887
24,9899
24,9910
24,9921
25,9932
28,9944
27,9956
26,9967
26,9978
25,9989
25,10001
24,10013
24,10023
22,10035
20,10049
18,10061
16,10073
14,10084
12,10096
12,10107
11,10118
9,10130
7,10142
7,10152
5,10165
3,10177
1,10188
0,10200
-2,10212
-2,10222
-3,10234
-4,10245
-5,10258
-6,10270
-6,10280
-7,10292
-7,10303
-8,10315
-9,10327
-9,10338
-9,10349
-10,10360
-10,10372
-10,10384
-9,10395
-9,10406
-8,10418
-8,10429
-8,10440
-7,10452
-6,10464
-6,10476
-6,10487
-5,10499
-5,10509
-4,10521
-4,10533
-3,10545
-3,10557
-2,10568
-2,10579
-2,10590
-2,10602
-1,10614
-1,10626
0,10638
0,10648
0,10660
0,10672
0,10683
0,10695
0,10706
0,10718
1,10730
1,10745
1,10756
1,10769
2,10781
2,10791
3,10803
4,10814
6,10826
9,10838
9,10848
11,10860
13,10872
13,10882
15,10894
16,10906
17,10918
18,10930
18,10940
19,10952
21,10964
23,10976
25,10987
29,10999
29,11009
31,11021
31,11033
31,11044
31,11056
32,11068
32,11078
32,11090
32,11101
33,11113
34,11125
34,11135
35,11147
36,11159
37,11170
38,11182
39,11193
39,11203
40,11215
40,11226
41,11237
42,11251
42,11263
43,11274
44,11286
45,11298
45,11308
45,11320
46,11332
46,11344
46,11355
46,11366
46,11378
45,11390
44,11402
42,11413
41,11425
41,11435
39,11447
37,11458
36,11470
36,11480
34,11493
32,11505
30,11517
28,11529
26,11541
24,11552
24,11563
22,11574
20,11586
18,11598
16,11610
16,11620
14,11632
12,11644
12,11654
10,11666
7,11679
6,11690
4,11702
2,11714
0,11726
-1,11738
-1,11749
-3,11760
-4,11772
-6,11784
-6,11794
-8,11806
-9,11819
-10,11830
-12,11842
-13,11854
-13,11864
-14,11876
-15,11888
-17,11900
-18,11912
-19,11923
-19,11933
-20,11945
-21,11957
-22,11969
-22,11980
-22,11991
-23,12001
-24,12013
-24,12025
-24,12039
-24,12049
-25,12061
-25,12072
-25,12083
-25,12095
-26,12106
-27,12118
-28,12130
-29,12142
-30,12153
-30,12164
-31,12176
-32,12188
-33,12200
-34,12211
-34,12222
-36,12234
-36,12246
-37,12259
-37,12271
-38,12282
-38,12293
-39,12305
-40,12318
-41,12334
-42,12346
-43,12358
-43,12368
-43,12380
-43,12392
-44,12404
-46,12416
-45,12427
-45,12439
-45,12451
-45,12461
-49,12473
-54,12485
-58,12496
-58,12507
-62,12519
-66,12531
-69,12543
-73,12554
-77,12566
-77,12576
-81,12588
-85,12600
-89,12612
-92,12623
-96,12635
-96,12646
-98,12657
-102,12669
-102,12680
-105,12692
-109,12704
-111,12716
-113,12728
-114,12739
-115,12751
-115,12761
-116,12773
-117,12785
-117,12795
-118,12807
-118,12820
-118,12832
-118,12843
-117,12855
-116,12867
-114,12879
-114,12890
-110,12901
-106,12913
-101,12925
-101,12935
-97,12949
-92,12961
-86,12973
-80,12984
-74,12996
-74,13006
-67,13018
-60,13030
-53,13041
-47,13053
-41,13065
-41,13075
-35,13087
-29,13098
-22,13110
-16,13122
-10,13133
-10,13144
-4,13156
0,13167
5,13179
5,13189
10,13201
15,13213
15,13224
22,13236
28,13249
28,13261
27,13273
26,13285
26,13296
24,13308
22,13320
22,13330
19,13342
17,13353
17,13364
14,13377
11,13390
8,13401
5,13413
1,13425
1,13436
-1,13449
-5,13461
-8,13473
-11,13484
-15,13496
-15,13506
-18,13519
-21,13531
-24,13543
-27,13555
-30,13567
-30,13577
-33,13590
-35,13601
-38,13613
-40,13625
-43,13637
-43,13647
-45,13659
-47,13670
-49,13682
-51,13694
-51,13704
-52,13716
-54,13728
-56,13739
-57,13751
-58,13763
-58,13773
-59,13785
-59,13795
-59,13807
-59,13819
-59,13831
-58,13842
-58,13854
-58,13866
-58,13876
-59,13889
-60,13900
-59,13912
-59,13923
-59,13934
-58,13947
-58,13959
-61,13970
-63,13982
-65,13993
-65,14003
-67,14014
-68,14027
-69,14039
-71,14051
-72,14062
-72,14073
-72,14084
-72,14096
-72,14108
-70,14120
-70,14130
-70,14142
-67,14153
-66,14165
-64,14177
-62,14189
-62,14199
-59,14211
-59,14221
-57,14234
-54,14246
-51,14259
-48,14271
-44,14282
-41,14294
-41,14304
-37,14317
-34,14329
-30,14341
-26,14353
-26,14363
-23,14375
-19,14387
-16,14399
-13,14411
-10,14423
-10,14433
-7,14446
-4,14458
-2,14469
0,14481
3,14493
3,14503
5,14515
7,14527
8,14539
10,14551
11,14562
11,14573
12,14585
13,14596
13,14608
12,14620
12,14630
13,14642
13,14653
13,14664
12,14676
13,14689
13,14701
13,14712
13,14724
13,14735
12,14747
12,14760
12,14771
11,14783
11,14793
10,14805
9,14819
8,14831
7,14843
6,14855
5,14867
4,14878
3,14890
3,14900
3,14912
2,14924
1,14936
0,14947
0,14958
-1,14969
-1,14981
-2,14993
-2,15002
-4,15014
-4,15026
-5,15038
-6,15049
-7,15061
-7,15071
-8,15083
-9,15095
-10,15107
-10,15118
-10,15128
-11,15140
-11,15152
-12,15164
-12,15176
-12,15188
-12,15198
-13,15210
-13,15221
-13,15233
-13,15248
-12,15263
-12,15275
-12,15287
-12,15299
-12,15310
-11,15322
-11,15332
-10,15345
-10,15357
-8,15369
-5,15380
-2,15392
2,15404
2,15414
7,15426
13,15438
20,15450
26,15462
26,15472
32,15484
38,15495
38,15506
44,15518
50,15531
56,15542
61,15554
66,15566
71,15578
71,15588
75,15600
79,15612
81,15623
84,15635
84,15646
86,15658
87,15672
88,15683
90,15695
89,15707
89,15717
89,15730
89,15741
88,15753
91,15765
92,15776
92,15787
92,15799
91,15810
91,15822
89,15834
89,15844
85,15856
83,15867
80,15879
76,15891
73,15902
73,15913
72,15925
72,15935
71,15947
70,15959
68,15971
67,15982
65,15994
62,16005
62,16015
60,16028
56,16039
54,16051
51,16063
51,16073
48,16086
44,16098
40,16110
37,16122
34,16133
34,16144
29,16156
26,16168
23,16180
19,16192
15,16203
15,16214
12,16226
9,16237
10,16250
13,16261
13,16272
15,16284
16,16295
20,16307
22,16319
27,16331
27,16341
31,16353
31,16363
37,16375
45,16387
51,16399
58,16411
64,16422
71,16434
71,16444
84,16457
89,16469
93,16481
96,16497
102,16509
104,16521
104,16531
107,16544
109,16556
111,16579
109,16591
109,16602
110,16615
110,16626
111,16639
111,16649
116,16661
121,16673
124,16687
126,16698
127,16710
127,16722
127,16734
127,16752
126,16763
126,16775
126,16785
124,16797
122,16809
119,16820
116,16832
